file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,serverity
384108,5da5952,,37,0,0,0,278,1,0,139,1225,0.9178618,0.12807882,0.16748768,59,0,24,30,0,5,0,0,0,0,13,0,0,13,0,0,0,0,1,947,91,23,115,2,17,9,18,153,1,129,7,6,0,0,250,1,2,major
385394,8db6c32,,45.285713,0,0,0,126.57143,1.4285715,0,103.42857,1273.5714,0.84791654,0.33683398,3.5126667,39.285713,1,20.857143,11.857142,1.4285715,5.142857,0,0,1.2857143,0,23.142857,5.571429,2,17.285715,0,3.857143,5.428571,0,2.5714285,579.2857,28.714285,11,40.857143,1.7142857,8.142858,14.285714,13.285714,110.57143,2.4285715,91.71429,4.714286,5.428571,0.2857143,0,211,3.2857144,0.71428573,major
423588,6750d25,,28,0,0,0,90,2,0,58,972,0.9583987,0.072463766,0.17294686,49,0,29,3,11,6,0,5,4,0,26,13,11,12,2,1,8,0,0,334,34,4,19,1,8,3,17,55,0,50,3,4,1,0,218,1025,0,major
420238,7710840,,18,0,0,0,162,2,0,65,347,0.9111111,0.12535612,0.35897437,30,3,14,3,4,9,0,0,0,0,30,16,0,0,0,30,16,0,56,738,17,18,43,0,65,3,394,402,325,222,4,0,0,0,207,1,0,normal
405216,470f274,,34,0,0,0,135,2,0,119,366,0.9191919,0.14035088,0.45614034,33,0,7,15,2,9,0,0,0,0,24,10,0,10,0,14,4,0,4,555,33,8,38,1,14,15,68,138,14,87,5,5,1,0,251,1,0,normal
413943,828d765,,0,0,0,0,0,1,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,50,1,0,enhancement
423495,2c6ce93,,21,0,0,0,38,2,0,40,252,0.9028572,0.07509881,0.4743083,25,0,13,2,10,0,0,0,0,0,14,0,0,14,0,0,0,0,0,194,6,2,7,0,2,2,8,38,0,25,3,4,0,0,168,1,0,normal
236006,39b4efc,,9.666667,0,0,0,13.666667,1.6666666,0,9.666667,35,0.027777778,NaN,NaN,9.333333,0.33333334,8.333333,0,0.6666667,0.33333334,0,0.33333334,0,0,0.33333334,0,0,0.33333334,0,0,0,0,0.33333334,40.333332,7.6666665,0,0.6666667,0,1.3333334,0.6666667,1,2.3333333,0,2.3333333,1,0,0.33333334,0,99,342.33334,0,enhancement
424252,4122371,,33,0,0,0,91,2,0,102,1000,0.93835604,0.22727273,0.3181818,48,0,5,36,4,3,0,0,0,0,73,0,0,73,0,0,1,0,3,922,41,4,14,0,2,31,7,210,3,134,2,7,0,0,324,17,0,normal
423892,5f5d161,,4.6666665,0,0,0,4.6666665,1.6666666,0,6.6666665,1,NaN,NaN,NaN,1.6666666,0,1.3333334,0.33333334,0,0,0,0,0,0,271.33334,270.33334,270,1.3333334,0,0,0.33333334,0,0,290,2,0.33333334,1.6666666,0.33333334,0.33333334,1.6666666,0.33333334,4.3333335,0,274,1,0,0,0,231.66667,1,0,normal
423725,b13507a,,17,0,0,0,77,1,0,54,27,0.78333336,0.55128205,1,18,1,11,5,0,2,0,0,0,0,10,2,1,2,0,7,2,0,1,263,23,13,19,0,5,7,6,57,0,42,4,0,0,0,101,1,0,normal
423040,9d4f714,,18,0,0,0,46,1,0,19,47,0.8421053,0.47252747,1,19,0,10,5,0,4,0,0,0,0,13,2,0,11,0,2,2,0,0,280,4,4,19,0,3,2,0,36,0,34,3,8,0,0,59,1,0,normal
413096,7100b54,,157,0,0,0,329,2,0,316,8521,0.98177755,0.016142271,0.021614227,135,10,71,49,4,11,0,0,13,0,50,10,2,45,0,3,5,0,10,2017,121,31,74,14,10,30,66,289,10,249,5,62,1,0,724,17,0,major
423768,05044a5,,27,0,0,0,122,1,0,101,331,0.8939394,0.13852814,0.1904762,30,0,21,8,0,1,0,0,0,5,11,2,1,10,0,0,2,0,10,440,20,27,37,8,2,52,9,94,10,78,8,0,0,0,186,1,0,critical
423718,75ffbc3,,31,0,0,0,165,1,0,87,94,0.88916254,0.3,0.3,29,0,0,24,0,5,0,0,0,0,14,6,0,10,0,4,2,0,2,570,38,23,52,1,16,12,20,144,14,131,4,3,0,0,233,1,0,normal
423748,c67130c,,14,0,0,0,49,2,0,31,56,0.8974359,0.4,0.6666667,13,1,2,7,4,0,0,0,0,0,12,0,1,1,0,10,0,0,6,230,13,6,7,1,23,0,24,68,31,45,3,4,1,0,100,1,0,normal
420972,657bd90,,11.066667,0,0,0,23,1.7333333,0,16.8,68.26667,0.414607,NaN,NaN,7.266667,0.4,4.866667,1.6666666,0.53333336,0.2,0,0,0,0.06666667,3.9333334,2.6,1.8666667,1.2666667,0.46666667,0.33333334,2.1333334,0,0.4,101.066666,10,1.0666667,6.6666665,0.13333334,1.9333333,1.9333333,3.5333333,16.733334,0.8666667,13.933333,1.4,1.3333334,0.13333334,0,64.333336,1,0,trivial
412479,642ec7b,,17.75,0,0,0,49,2,0,38.75,177.5,0.5157268,0.25655273,1.2763534,15.5,0.5,10,4.25,0.5,0.75,0,0,0,0,4.75,0.75,0.5,4,0,0.25,0.75,0,0.25,211.5,11.5,5,14.75,0.25,5.25,0.75,5.5,41.5,2,36.25,2.5,2,0,0,98.25,1,0,normal
416746,aad29ac,,31,0,0,0,113,2,0,59,676,0.88742965,0.07394958,0.11092437,41,0,35,6,0,0,0,0,0,0,13,4,0,13,0,0,4,0,0,411,30,6,32,0,5,13,18,78,6,71,4,2,0,0,147,1,0,normal
417399,bd4f8f4,,44,0,0,0,156,1,0,122,278,0.936,0.028571429,0.057142857,25,2,9,10,4,2,0,0,0,0,20,3,2,11,4,3,3,0,2,890,25,13,75,8,9,20,7,123,3,110,6,11,0,0,197,1,7,normal
369884,4cd7ec0,,49,0,0,0,94,1,0,102,145,0.90175444,0.06666667,0.13333334,19,9,10,9,0,0,0,0,0,0,15,10,2,13,0,0,10,0,20,421,35,4,42,8,8,24,10,92,9,81,3,6,0,0,251,1,3,normal
410049,cf38dbb,,33,0,0,0,123,1,0,80,776,0.9217686,0.120731704,0.25609756,49,9,38,8,2,1,0,0,0,0,18,8,8,6,0,4,8,0,14,443,51,4,26,0,11,30,15,86,29,79,3,0,1,0,180,1,0,major
422533,8cf9ee8,,156,0,0,0,324,2,0,311,8521,0.98177755,0.016142271,0.021614227,135,10,71,49,4,11,0,0,13,0,50,10,2,45,0,3,5,0,10,2004,121,31,70,13,10,29,66,283,10,245,5,62,1,0,719,17,0,normal
418859,d5c1984,,31,0,0,0,112,2,0,59,676,0.88742965,0.07394958,0.11092437,41,0,35,6,0,0,0,0,0,0,13,4,0,13,0,0,4,0,0,410,30,6,32,0,5,13,17,77,6,70,4,2,0,0,147,1,0,normal
397872,3b3894f,,37,0,0,0,278,1,0,139,1225,0.9178618,0.12807882,0.16748768,59,0,24,30,0,5,0,0,0,0,13,0,0,13,0,0,0,0,1,947,91,23,115,2,17,9,18,153,1,129,7,6,0,0,250,1,2,normal
420951,a670ec8,,17,0,0,0,164,2,0,65,347,0.9111111,0.12535612,0.35897437,30,3,14,3,4,9,0,0,0,0,30,16,0,0,0,30,16,0,56,736,17,18,42,0,65,2,394,402,325,222,4,0,0,0,207,1,0,normal
395161,995063c,,10,0,0,0,11,1,0,17,15,0.71428573,0,0,7,0,2,5,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,64,0,2,1,0,0,1,0,5,0,8,1,1,0,0,42,1,1,normal
409834,eeb3a08,,37,0,0,0,278,1,0,138,1261,0.91916555,0.12807882,0.16748768,59,0,24,30,0,5,0,0,0,0,13,0,0,13,0,0,0,0,1,945,90,23,115,2,17,9,17,152,1,128,7,6,0,0,250,1,2,normal
398381,9c42f70,,34.5,0,0,0,117,1.5,0,84,362,0.8646011,0.3015031,1.0566503,28.5,1,17,7.5,0,4,0,0,0,0,14,2.5,1.5,8.5,0,4,2.5,0,0.5,516,27,15.5,32.5,0,9,6,7.5,98.5,0.5,78.5,5,3.5,0,0,150,1,0.5,normal
421764,c906222,,12,0,0,0,7.5,2,0,17.5,2,NaN,NaN,NaN,4.5,0,1.5,1.5,1.5,0,0,0,0,0,407,404,403.5,3.5,0,0,0.5,0,0,454.5,2.5,0,2,0,2.5,0.5,1.5,8,0,411.5,1,1,0,0,361.5,1,0,normal
421725,bd62f7a,,49,0,0,0,211,4,0,113,3677,0.94761896,0.04009193,0.23237997,90,0,34,1,47,8,0,7,5,0,14,1,0,14,0,0,0,0,7,939,43,16,63,3,3,5,41,126,9,98,4,9,3,0,605,1025,0,trivial
418254,a4948bf,,66,0,0,0,177,2,0,140,478,0.95230263,0.033333335,0.033333335,32,1,11,16,5,0,0,0,0,0,19,6,1,12,0,6,4,0,5,935,50,10,67,1,22,16,39,168,15,138,4,18,1,0,293,1,0,normal
415522,d7c4238,,24,0,0,0,35,3,0,56,84,0.83823526,0.1969697,0.33333334,17,1,3,5,9,0,0,0,0,0,12,8,0,12,0,0,8,0,5,268,14,1,12,3,1,8,10,59,0,47,3,5,1,0,186,1,0,normal
